2025-02-28 11:26:16,315 [INFO] Connecting to serial port COM3.
2025-02-28 11:26:16,316 [ERROR] Serial connection error on COM3: could not open port 'COM3': FileNotFoundError(2, 'El sistema no puede encontrar el archivo especificado.', None, 2)
2025-02-28 11:26:16,316 [ERROR] Failed to connect to serial. Exiting.
2025-02-28 11:26:34,116 [INFO] Connecting to serial port COM3.
2025-02-28 11:26:34,119 [INFO] Connected to serial port COM3 at 9600 bps.
2025-02-28 11:26:37,549 [INFO] Initializing GUI.
2025-02-28 11:26:45,090 [INFO] Connecting to serial port COM3.
2025-02-28 11:26:45,093 [INFO] Connected to serial port COM3 at 9600 bps.
2025-02-28 11:26:45,142 [INFO] Initializing GUI.
2025-02-28 11:41:22,240 [INFO] Connecting to serial port COM3.
2025-02-28 11:41:22,244 [INFO] Connected to serial port COM3 at 9600 bps.
2025-02-28 11:41:22,317 [INFO] Initializing GUI.
2025-02-28 11:41:22,400 [INFO] Widgets created and arranged.
2025-02-28 11:41:22,402 [INFO] GUI initialized.
2025-02-28 11:41:24,646 [INFO] Executing remote command: sshpass -p admin0 ssh dev@192.168.1.96 "python3 /home/dev/Desktop/automata/capture_both_cameras.py"
2025-02-28 11:41:24,691 [ERROR] Capture failed. Error output:
2025-02-28 11:41:24,692 [ERROR] "sshpass" no se reconoce como un comando interno o externo,
programa o archivo por lotes ejecutable.

2025-02-28 11:41:24,693 [INFO] Log: Remote capture failed.
2025-02-28 11:41:27,422 [INFO] Log: High usage: CPU 2.2%, Memory 86.5%
2025-02-28 11:41:27,422 [WARNING] High usage: CPU 2.2%, Memory 86.5%
2025-02-28 11:41:32,434 [INFO] Log: High usage: CPU 2.5%, Memory 90.5%
2025-02-28 11:41:32,435 [WARNING] High usage: CPU 2.5%, Memory 90.5%
2025-02-28 11:41:37,451 [INFO] Log: High usage: CPU 2.5%, Memory 90.7%
2025-02-28 11:41:37,452 [WARNING] High usage: CPU 2.5%, Memory 90.7%
2025-02-28 11:41:42,470 [INFO] Log: High usage: CPU 1.8%, Memory 90.4%
2025-02-28 11:41:42,471 [WARNING] High usage: CPU 1.8%, Memory 90.4%
2025-02-28 11:41:47,491 [INFO] Log: High usage: CPU 1.2%, Memory 90.4%
2025-02-28 11:41:47,492 [WARNING] High usage: CPU 1.2%, Memory 90.4%
2025-02-28 11:41:52,501 [INFO] Log: High usage: CPU 0.9%, Memory 90.4%
2025-02-28 11:41:52,502 [WARNING] High usage: CPU 0.9%, Memory 90.4%
2025-02-28 11:41:57,511 [INFO] Log: High usage: CPU 0.7%, Memory 90.3%
2025-02-28 11:41:57,512 [WARNING] High usage: CPU 0.7%, Memory 90.3%
2025-02-28 11:42:02,540 [INFO] Log: High usage: CPU 1.7%, Memory 90.8%
2025-02-28 11:42:02,541 [WARNING] High usage: CPU 1.7%, Memory 90.8%
2025-02-28 11:42:07,549 [INFO] Log: High usage: CPU 1.2%, Memory 90.9%
2025-02-28 11:42:07,550 [WARNING] High usage: CPU 1.2%, Memory 90.9%
2025-02-28 11:42:12,565 [INFO] Log: High usage: CPU 1.1%, Memory 90.9%
2025-02-28 11:42:12,566 [WARNING] High usage: CPU 1.1%, Memory 90.9%
2025-02-28 11:42:17,575 [INFO] Log: High usage: CPU 1.3%, Memory 90.7%
2025-02-28 11:42:17,576 [WARNING] High usage: CPU 1.3%, Memory 90.7%
2025-02-28 11:42:22,592 [INFO] Log: High usage: CPU 1.3%, Memory 90.5%
2025-02-28 11:42:22,593 [WARNING] High usage: CPU 1.3%, Memory 90.5%
2025-02-28 11:42:27,606 [INFO] Log: High usage: CPU 1.0%, Memory 90.6%
2025-02-28 11:42:27,606 [WARNING] High usage: CPU 1.0%, Memory 90.6%
2025-02-28 11:42:32,632 [INFO] Log: High usage: CPU 1.4%, Memory 91.8%
2025-02-28 11:42:32,633 [WARNING] High usage: CPU 1.4%, Memory 91.8%
2025-02-28 11:42:37,648 [INFO] Log: High usage: CPU 1.3%, Memory 89.3%
2025-02-28 11:42:37,648 [WARNING] High usage: CPU 1.3%, Memory 89.3%
2025-02-28 11:42:42,667 [INFO] Log: High usage: CPU 1.3%, Memory 89.3%
2025-02-28 11:42:42,668 [WARNING] High usage: CPU 1.3%, Memory 89.3%
2025-02-28 11:42:47,679 [INFO] Log: High usage: CPU 1.3%, Memory 89.4%
2025-02-28 11:42:47,680 [WARNING] High usage: CPU 1.3%, Memory 89.4%
2025-02-28 11:42:52,695 [INFO] Log: High usage: CPU 1.0%, Memory 89.3%
2025-02-28 11:42:52,696 [WARNING] High usage: CPU 1.0%, Memory 89.3%
2025-02-28 11:42:57,717 [INFO] Log: High usage: CPU 0.8%, Memory 89.3%
2025-02-28 11:42:57,718 [WARNING] High usage: CPU 0.8%, Memory 89.3%
2025-02-28 11:43:02,737 [INFO] Log: High usage: CPU 2.7%, Memory 87.7%
2025-02-28 11:43:02,737 [WARNING] High usage: CPU 2.7%, Memory 87.7%
2025-02-28 11:43:07,747 [INFO] Log: High usage: CPU 0.9%, Memory 87.7%
2025-02-28 11:43:07,748 [WARNING] High usage: CPU 0.9%, Memory 87.7%
2025-02-28 11:43:12,758 [INFO] Log: High usage: CPU 0.9%, Memory 87.5%
2025-02-28 11:43:12,759 [WARNING] High usage: CPU 0.9%, Memory 87.5%
2025-02-28 11:43:17,769 [INFO] Log: High usage: CPU 1.6%, Memory 87.8%
2025-02-28 11:43:17,770 [WARNING] High usage: CPU 1.6%, Memory 87.8%
2025-02-28 11:43:22,784 [INFO] Log: High usage: CPU 2.2%, Memory 88.9%
